,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,FP-Augmented,FP-Augmented,FP-Augmented,FP-Augmented,FP-Augmented,FP-Augmented,FP-Augmented,FP-Augmented,FP-Augmented
,Accuracy,Precision,Recall,F1 Score,AUC-ROC,AUPR,Specificity,Sensitivity,MCC,Accuracy,Precision,Recall,F1 Score,AUC-ROC,AUPR,Specificity,Sensitivity,MCC
Algorithm,,,,,,,,,,,,,,,,,,
DT,99.25,99.45,99.45,99.45,99.14,99.64,98.82,99.45,98.27,99.44,99.45,99.72,99.58,99.28,99.68,98.82,99.72,98.7
LR,54.7,76.82,47.79,58.84,69.0,79.38,69.41,47.79,16.24,67.1,82.2,64.09,70.94,78.49,86.26,73.53,64.09,36.62
RF,99.25,99.45,99.45,99.45,99.41,99.72,98.82,99.45,98.27,99.44,99.45,99.72,99.58,99.41,99.72,98.82,99.72,98.7
SVM,51.5,74.24,43.64,54.9,64.99,77.24,68.24,43.64,11.24,68.24,82.46,66.58,72.87,78.28,87.16,71.76,66.58,37.29
HGB,99.62,99.45,100.0,99.72,100.0,100.0,98.82,100.0,99.14,99.62,99.45,100.0,99.72,100.0,100.0,98.82,100.0,99.14
